Search_method Problem Max_evals Run Score
uniform_crossover knapPI_11_20_1000_4 10000 0 1340N
uniform_crossover knapPI_11_20_1000_4 10000 1 1400N
uniform_crossover knapPI_11_20_1000_4 10000 2 1400N
uniform_crossover knapPI_11_20_1000_4 10000 3 1400N
uniform_crossover knapPI_11_20_1000_4 10000 4 1400N
uniform_crossover knapPI_11_20_1000_4 10000 5 1400N
uniform_crossover knapPI_11_20_1000_4 10000 6 1400N
uniform_crossover knapPI_11_20_1000_4 10000 7 1360N
uniform_crossover knapPI_11_20_1000_4 10000 8 1440N
uniform_crossover knapPI_11_20_1000_4 10000 9 1400N
uniform_crossover knapPI_11_20_1000_4 10000 10 1400N
uniform_crossover knapPI_11_20_1000_4 10000 11 1400N
uniform_crossover knapPI_11_20_1000_4 10000 12 1400N
uniform_crossover knapPI_11_20_1000_4 10000 13 1440N
uniform_crossover knapPI_11_20_1000_4 10000 14 1400N
uniform_crossover knapPI_11_20_1000_4 10000 15 1440N
uniform_crossover knapPI_11_20_1000_4 10000 16 1400N
uniform_crossover knapPI_11_20_1000_4 10000 17 1440N
uniform_crossover knapPI_11_20_1000_4 10000 18 1400N
uniform_crossover knapPI_11_20_1000_4 10000 19 1400N
uniform_crossover knapPI_11_20_1000_4 10000 20 1400N
uniform_crossover knapPI_11_20_1000_4 10000 21 1400N
uniform_crossover knapPI_11_20_1000_4 10000 22 1400N
uniform_crossover knapPI_11_20_1000_4 10000 23 1400N
uniform_crossover knapPI_11_20_1000_4 10000 24 1400N
uniform_crossover knapPI_13_20_1000_4 10000 0 907N
uniform_crossover knapPI_13_20_1000_4 10000 1 800N
uniform_crossover knapPI_13_20_1000_4 10000 2 907N
uniform_crossover knapPI_13_20_1000_4 10000 3 880N
uniform_crossover knapPI_13_20_1000_4 10000 4 907N
uniform_crossover knapPI_13_20_1000_4 10000 5 889N
uniform_crossover knapPI_13_20_1000_4 10000 6 907N
uniform_crossover knapPI_13_20_1000_4 10000 7 880N
uniform_crossover knapPI_13_20_1000_4 10000 8 880N
uniform_crossover knapPI_13_20_1000_4 10000 9 889N
uniform_crossover knapPI_13_20_1000_4 10000 10 809N
uniform_crossover knapPI_13_20_1000_4 10000 11 907N
uniform_crossover knapPI_13_20_1000_4 10000 12 907N
uniform_crossover knapPI_13_20_1000_4 10000 13 880N
uniform_crossover knapPI_13_20_1000_4 10000 14 890N
uniform_crossover knapPI_13_20_1000_4 10000 15 907N
uniform_crossover knapPI_13_20_1000_4 10000 16 889N
uniform_crossover knapPI_13_20_1000_4 10000 17 836N
uniform_crossover knapPI_13_20_1000_4 10000 18 907N
uniform_crossover knapPI_13_20_1000_4 10000 19 889N
uniform_crossover knapPI_13_20_1000_4 10000 20 907N
uniform_crossover knapPI_13_20_1000_4 10000 21 907N
uniform_crossover knapPI_13_20_1000_4 10000 22 889N
uniform_crossover knapPI_13_20_1000_4 10000 23 907N
uniform_crossover knapPI_13_20_1000_4 10000 24 889N
uniform_crossover knapPI_16_20_1000_4 10000 0 2503N
uniform_crossover knapPI_16_20_1000_4 10000 1 2886N
uniform_crossover knapPI_16_20_1000_4 10000 2 2864N
uniform_crossover knapPI_16_20_1000_4 10000 3 2542N
uniform_crossover knapPI_16_20_1000_4 10000 4 2682N
uniform_crossover knapPI_16_20_1000_4 10000 5 2626N
uniform_crossover knapPI_16_20_1000_4 10000 6 2116N
uniform_crossover knapPI_16_20_1000_4 10000 7 2633N
uniform_crossover knapPI_16_20_1000_4 10000 8 2731N
uniform_crossover knapPI_16_20_1000_4 10000 9 2538N
uniform_crossover knapPI_16_20_1000_4 10000 10 2582N
